TotalHits,%Image,%HTML,%BinaryDoc,%BinaryExe,%ASCII,%Zip,%Multimedia,%OtherFile,BandWidth,SessionTime,avgHtmlReqTime,TotalNightTimeReq,TotalRepeatedReq,%Errors,%Get,%Post,%OtherMethod,IsRobot.txtVisited,%Head,%UnassignedReferrer
2,0,0,0,0,0,0,0,0,33774,112,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16896,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16921,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33841,814,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16910,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16906,0,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50692,353,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,17775,1720,0,1,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50652,1200,0,3,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33594,1417,0,2,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33734,865,0,2,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33828,339,0,2,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33585,1055,0,2,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16906,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33798,1505,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16892,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33815,129,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16936,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16908,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33796,1799,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16918,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16892,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16913,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33799,335,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,1338,2,0,0,2,100,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16885,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16896,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16903,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33797,1077,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33775,1577,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33840,1294,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50599,1328,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33832,1130,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16934,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16891,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16895,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16859,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16886,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33821,393,0,2,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50661,1393,0,3,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16690,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16899,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16910,0,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50698,1203,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33730,329,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16914,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16900,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16863,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,32637,21,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,82646,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33805,1606,0,2,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16893,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16907,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33582,1281,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16908,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16902,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16860,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16916,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16910,0,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50631,1423,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16873,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16691,0,0,1,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50668,700,0,3,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33798,1448,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16903,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16692,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33781,467,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33819,780,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16823,0,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50631,1423,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16909,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16863,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33800,177,0,2,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16902,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33797,71,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16920,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16913,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16895,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16923,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33736,1795,0,2,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16884,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33825,1436,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16908,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16915,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16825,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33830,573,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16902,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16908,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,306473,0,0,1,0,0,100,0,0,0,0,0
2,0,0,0,0,0,0,0,0,7988,926,0,2,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,18078,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,100,100
3,0,0,0,0,0,0,0,0,231,1257,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1244,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1252,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1254,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1255,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1247,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1241,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1247,0,3,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1246,0,1,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1246,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1248,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1252,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1254,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1257,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1258,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1249,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1256,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1254,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1251,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1256,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1234,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1259,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1255,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1256,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1256,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1259,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1253,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1261,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1271,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1260,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1262,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1259,0,0,3,0,100,0,0,1,0,100
3,0,0,0,0,0,0,0,0,231,1264,0,0,3,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,904,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1283,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1261,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1258,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1256,0,1,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1251,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1264,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1264,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1264,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1262,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1263,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1256,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1261,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1260,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1250,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1260,0,2,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1259,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1261,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1264,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1263,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1265,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1263,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1251,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1256,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1255,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1254,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1264,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1258,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1259,0,0,2,0,100,0,0,1,0,100
2,0,0,0,0,0,0,0,0,154,1262,0,0,2,0,100,0,0,1,0,100
1,0,0,0,0,0,0,0,0,24552,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16889,0,0,1,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50469,1271,0,3,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16901,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33782,1284,0,2,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50717,1246,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50729,1773,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16826,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33822,615,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16909,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16907,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16925,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16905,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16903,0,0,1,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33845,848,0,2,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16831,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33836,1527,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16850,0,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,16903,0,0,0,0,0,100,0,0,0,0,100
3,0,0,0,0,0,0,0,0,50717,355,0,0,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,82646,0,0,1,0,0,100,0,0,0,0,100
1,0,0,0,0,0,0,0,0,82646,0,0,0,0,0,100,0,0,0,0,100
2,0,0,0,0,0,0,0,0,33754,191,0,2,0,0,100,0,0,0,0,100
